city_id;size_)city;size_)hut;size_)large_town;size_)mid_town;size_)town;size_)village
1635;0;0;0;1;0;0
1615;0;0;0;1;0;0
11;0;0;0;1;0;0
391;0;0;0;1;0;0
1712;0;0;0;1;0;0
394;0;0;0;0;1;0
785;0;0;0;0;1;0
447;0;0;0;1;0;0
522;0;0;1;0;0;0
374;0;0;0;0;1;0
482;0;0;0;0;0;1
412;0;0;0;0;1;0
943;0;0;0;1;0;0
505;0;0;0;1;0;0
444;0;0;0;1;0;0
438;0;0;0;1;0;0
695;0;0;0;0;0;1
1648;0;0;0;1;0;0
1636;0;0;0;1;0;0
1340;0;1;0;0;0;0
1595;0;0;0;1;0;0
1644;0;0;0;1;0;0
384;0;0;0;1;0;0
342;0;0;0;1;0;0
1148;0;0;0;0;0;1
359;0;0;0;0;0;1
1649;0;0;0;1;0;0
333;0;0;0;1;0;0
170;0;0;0;1;0;0
327;0;0;0;0;1;0
949;0;0;0;1;0;0
661;0;0;0;0;1;0
428;0;0;0;1;0;0
1641;0;0;0;1;0;0
1589;0;0;0;1;0;0
461;0;0;0;0;1;0
328;0;0;0;1;0;0
372;0;0;0;0;1;0
1656;0;0;0;0;0;1
1666;0;0;0;1;0;0
953;0;0;0;1;0;0
521;0;0;0;1;0;0
406;0;0;0;0;1;0
445;0;0;0;0;0;1
581;0;0;0;0;0;1
150;0;0;0;0;0;1
195;0;0;0;0;0;1
1626;0;0;0;1;0;0
353;0;0;0;0;0;1
331;0;0;0;1;0;0
448;0;0;0;1;0;0
1631;0;0;0;1;0;0
501;0;0;0;0;0;1
1596;0;0;0;0;1;0
390;0;0;0;0;1;0
1787;0;0;0;0;1;0
389;0;0;0;1;0;0
417;0;0;0;0;0;1
1774;0;0;0;0;1;0
1622;0;0;0;1;0;0
1638;0;0;0;1;0;0
348;0;0;0;0;1;0
944;0;0;0;1;0;0
1229;0;0;0;0;0;1
63;0;0;0;1;0;0
616;0;0;0;1;0;0
456;0;0;0;1;0;0
532;0;1;0;0;0;0
1642;0;0;0;0;1;0
656;0;0;0;0;1;0
1742;0;0;0;0;1;0
490;0;0;0;0;1;0
1620;0;0;0;0;1;0
1257;0;1;0;0;0;0
